Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,latino_bin
6001438203,2014,8.9153795,11.8,9,0.4,22.5,25.7,7.2,7.8,10.7,0
6001438204,2014,8.9153795,11.3,7.7,0.2,23.7,16.6,7.9,7.4,6.2,0
6001438300,2014,8.9153795,11.2,9.4,0.1,43.5,24.2,17.1,7,6.4,1
6001438400,2014,8.9153795,10.7,11.6,0.1,30.8,21.7,10.4,5.4,5.5,0
6001440100,2014,8.7778902,9.6,4.5,0,20.5,12.4,5.2,5.1,8.7,0
6001440200,2014,8.7778902,11.2,3.1,0,74.5,25,22.4,3.7,14.8,1
6001440301,2014,8.7778902,10.1,8.6,0.7,32,16.7,10.3,7.7,8.7,0
6001440304,2014,8.82444,10.2,4.5,0.9,14.7,15.9,4.3,8.1,2.4,0
6001440305,2014,8.82444,10.6,8.2,0.4,15.9,8.4,3.8,6.6,8.9,0
6001440306,2014,8.82444,9.6,5.4,0.8,8.4,16.6,0.5,9.3,14.3,0
6001440307,2014,8.9153795,12.3,4.9,0.6,17.3,11.5,3.1,5.3,12,0
6001440308,2014,8.8178196,10.7,4.7,0.1,31.9,13.7,9.1,2.5,9.6,0
6001440331,2014,8.9153795,9.7,5.5,0,17.5,14.5,4.1,7.9,5.7,0
6001440332,2014,8.82444,7.9,1.4,0.3,8.4,7.2,0.2,5.8,2.4,0
6001440333,2014,8.9153795,9.2,7.9,0.4,8.5,10,1.1,3.9,3.7,0
6001440334,2014,8.9153795,11,4.5,0,17.2,12.6,3.7,4.5,9.3,0
6001440335,2014,8.8178196,6.2,1.5,0.7,9.3,7.1,1.3,5.2,3.4,0
6001440336,2014,8.8178196,9.8,11.5,0,19.1,17.9,2.8,6.8,15.1,0
6001441100,2014,8.7108698,9.9,1.9,0.5,22.7,6.8,1.4,6.1,7.5,0
6001441200,2014,8.8178196,7.8,6.4,1,13.4,7.8,1.6,5.8,6.8,0
6001441301,2014,8.8178196,7,10,0.2,9,3,0.2,4.7,7.9,0
6001441302,2014,8.8178196,8.7,3.3,1.3,12.4,9.2,1.3,4.5,8.1,0
6001441401,2014,8.8178196,8.6,3.9,0.3,11.4,10.5,2.1,3.7,7.5,0
6001441402,2014,8.8178196,8.8,2.3,0.8,14.3,8,3.1,5.3,5.5,0
6001441501,2014,8.82444,8.6,8.2,0.4,6.3,8,0.7,4.8,5.6,0
6001441503,2014,8.8835602,5.5,2.8,0.3,1.4,4.4,0.2,4.2,4.1,0
6001441521,2014,8.82444,8.6,4.2,0.1,4.8,7.2,1,3,3.3,0
6001441522,2014,8.82444,9.6,5.5,0,12.9,8.9,3.9,3.8,7.8,0
6001441523,2014,8.82444,5.9,4.3,0.8,4,7,0,6.1,7,0
6001441524,2014,8.82444,5.8,4.4,1.5,4.5,4.9,0.9,5.5,7,0
6001441601,2014,8.8178196,9.6,4,0,18.3,11.8,3,5.8,5.3,0
6001441602,2014,8.8178196,9,6.6,0,26.8,20.7,8.4,3.8,6.5,0
6001441700,2014,8.8178196,8.3,6.3,0.6,32.2,14.9,8.3,8.5,9.6,0
6001441800,2014,8.8178196,7.6,1.2,0.4,15.6,8.8,3.6,4.5,3.5,0
6001441921,2014,8.7748404,6.5,4.5,1.6,27.9,13.6,5.7,8.4,1.6,0
6001441923,2014,8.8178196,7.6,4.7,0,9.7,7.9,2.7,4.8,13.4,0
6001441924,2014,8.7108698,7.3,0.5,0.6,13.8,8.3,2.1,9,12.2,0
6001441925,2014,8.7108698,4.2,3,1.4,10.3,3.9,0.3,5.5,2.4,0
6001441926,2014,8.7748404,6.7,4.8,0.3,37,15.8,15.1,2.8,5,1
6001441927,2014,8.7748404,5.7,6.7,0,7.2,3.9,0.5,6,6.7,0
6001442000,2014,8.7108698,8.5,0.1,0,1.8,3.5,0,5.3,4.6,0
6001442100,2014,8.7108698,8.5,0.7,0.7,3.6,3.8,0.1,2.2,2.7,0
6001442200,2014,8.7748404,8.1,0.7,0,2.9,4.1,0.4,3,2.6,0
6001442301,2014,8.7748404,8.7,6.9,0.8,15.4,4.8,3.4,5,10.4,0
6001442302,2014,8.7748404,7.9,7.9,0.5,13,12.2,3.5,7.8,10.4,0
6001442400,2014,8.7748404,8.8,3.9,0.5,31.5,16.8,13.1,5.1,13.2,0
6001442500,2014,8.8835602,9,6.5,1.1,15.2,11.9,5.3,5.2,4.2,0
6001442601,2014,8.8835602,7.7,3.6,0,16.5,5.1,0,4,2.8,0
6001442602,2014,8.8178196,9.3,5.2,0.2,21.4,13.9,6.2,5.3,17.3,0
6001442700,2014,8.8835602,8,1,0,22.7,5.3,4,1.9,3.3,0
6001442800,2014,8.8835602,9.7,4.3,0,23.8,12.2,8.4,6.5,11.7,0
6001442900,2014,8.7748404,8,4.5,0.2,18.3,8.1,1.3,3.1,3.8,0
6001443001,2014,8.7748404,8.4,1.8,0,37.1,9.6,9.3,4.1,1.8,1
6001443002,2014,8.7748404,8.9,0.3,0,25.4,10.2,6.1,6.6,7,0
6001443102,2014,8.7748404,8.1,0.3,0.1,6.9,3.7,1.1,4.6,1.9,0
6001443103,2014,8.8200903,8.3,2.2,0.3,0.9,5.8,0.7,4,6.3,0
6001443104,2014,8.8200903,7.6,0.5,0.3,6.3,4.8,0.3,7.8,3.9,0
6001443105,2014,8.7748404,7.9,1.8,0.3,0,2.5,0,4.5,0.7,0
6001443200,2014,8.6201401,8.3,0.3,0.2,3,2.3,1.5,4.7,3,0
6001443301,2014,8.6201401,8,2.8,0.4,4.9,4.9,0.2,2.9,6.5,0
6001443321,2014,8.6201401,6.5,2.7,0,4.9,8,0.3,4.8,6.3,0
6001443322,2014,8.6201401,7.6,2.4,0.8,3.6,6.2,0,3.9,2.8,0
6001450601,2014,8.5767698,7.3,4.2,0,4.8,2.7,0.1,4.5,3.9,0
6001450602,2014,8.5767698,7.2,3,0.1,9.3,3.1,0.4,4.5,4.9,0
6001450603,2014,8.6760397,7.4,0.3,0,11.1,4.1,0.6,6.8,2.7,0
6001450604,2014,8.5767698,7.7,1.5,0.1,11.6,4.3,2.8,3.4,3.7,0
6001450605,2014,8.5767698,7.9,1.5,0,7.8,3.2,0.5,4.9,3.9,0
6001450606,2014,8.5767698,7.7,3,0.7,7.8,5.8,2.3,6.3,2.3,0
6001450607,2014,8.5767698,7.6,3.9,0,19.4,8.8,6.2,4.6,8.1,0
6001450701,2014,8.7866402,7.2,0.3,0,5.9,2.1,1,2.9,5.2,0
6001450741,2014,8.6295996,8.1,2.7,0.1,24.6,11.4,11.3,7.2,7.5,0
6001450742,2014,8.6295996,7.9,1.7,0,12.6,4.7,1.1,4.3,0.9,0
6001450743,2014,8.6760397,5.8,4.5,0,11.2,12.3,8,3,6.8,0
