Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,Percent_White_Only,latino_bin
6037206010,2014,13.0471,17.5,5.5,0,52.5,46.3,29.7,3.3,44,5,1
6037206020,2014,13.0471,7.8,35,0.4,37.2,42.6,8.1,0.2,10.7,21,1
6037206031,2014,13.004,6,8.1,0,7.5,6.1,3,5,19.7,37.4,0
6037206032,2014,13.0471,16.1,1.9,0,76,39.2,36.2,5.7,33.3,4.6,1
6037206050,2014,13.004,19.8,4.2,0,80.6,48.7,42.2,12.6,49.3,7.9,1
6037206200,2014,13.0471,20.3,18.1,0.3,21.1,27.1,5.4,7.7,51.3,14.4,0
6037206300,2014,13.0471,26.2,52,1.1,24.4,34.5,7.4,12.3,79,18.6,0
6037207101,2014,13.0471,13.6,4.4,0,18.9,33.3,7.7,2.2,42.8,18.4,0
6037207102,2014,13.0471,23.8,1.6,0,13.3,66.3,8.1,4.9,44.8,0.3,0
6037207103,2014,13.0471,19.8,1.9,1,6.9,53.8,3.1,3.6,43.4,3.8,0
6037207301,2014,13.0471,11.5,20.2,0.3,18.7,15,2.3,7.2,35.6,43.2,0
6037207302,2014,13.0471,7.6,20.3,0.4,13.5,7.9,1.7,7.5,17.4,46.2,0
6037207400,2014,13.0471,16.5,15.5,0,59.1,41,28.2,0,93.1,17.2,1
6037207501,2014,13.0471,6.6,4,0,11.6,2.9,3.3,0.8,10.9,39.5,0
6037207502,2014,13.0471,16.6,2.4,0,7.6,22,3.5,1.6,34,20.7,0
6037207710,2014,13.0471,8.8,8.3,0,13.9,13.6,0.3,5.1,25.3,48.5,0
6037207900,2014,13.0471,6.7,7.7,0,23.1,10.9,6.7,6.5,27.7,30,0
6037208000,2014,13.0471,9.6,2.6,0,69.6,30.9,25.8,8.8,33.9,7.7,1
6037208301,2014,13.0471,10.1,0,0.4,97,65,55.1,15.7,34.3,1.1,1
6037208302,2014,13.0471,13.1,8.6,0,73.9,42.8,40.4,14.9,27.8,7.1,1
6037208401,2014,13.0707,14.5,1.7,0,76.4,50.7,48.6,8.6,40.1,1.7,1
6037208402,2014,13.0471,13.3,1.4,0,75.3,41.4,38.5,13.4,24.7,2.7,1
6037208501,2014,13.0707,11.8,0.3,0,50.1,31.9,30.9,7.4,18.2,3.8,1
6037208502,2014,13.0707,13.9,4,0,75.6,41.1,32.1,9.4,37.3,5,1
6037208610,2014,13.0707,11.4,1.9,0,43.1,27.8,21.8,10.5,20.3,3.4,1
6037208620,2014,13.0707,12.3,8,0.2,46.8,27.4,27,10.3,27.5,6.5,1
6037208710,2014,13.0707,9.9,4.9,0,26.8,10.7,14,7.5,25,6.3,0
6037208720,2014,13.0707,14.2,5.4,0,82.5,49.5,51.5,10.3,48.5,3,1
6037208801,2014,13.0707,16.3,5.5,0,66.4,49.6,40.6,6.5,38.6,6.1,1
6037208802,2014,13.0707,12.1,7.3,0,64.7,39.4,35.5,6.7,33.3,8.7,1
6037208902,2014,13.0707,12.6,0.6,0,96.2,73.1,68.8,3.5,50.9,1.3,1
6037208903,2014,13.0707,14,4.8,0.5,81.4,65.5,56.8,7.1,35.8,7.2,1
6037208904,2014,13.0707,18.2,1.8,0,85.2,67.7,62.7,6.7,68.7,3.7,1
6037209102,2014,13.0471,14.6,4,0.5,76.5,60.4,60.4,4.3,57.1,3.2,1
6037209103,2014,13.0471,14.5,0.8,0.1,95,65.4,62.5,4.3,64.9,0.6,1
6037209104,2014,13.0471,15.3,4.5,0,81,42.1,51.7,5.9,54.6,9.5,1
6037209200,2014,13.0471,9,7,0.5,43.5,32.1,30.7,5,36.3,25,1
6037209300,2014,13.0707,10.2,7.9,0.4,65.1,47.4,36.9,6.6,44.2,14.3,1
6037209401,2014,13.0707,16.9,9.7,0.5,69.8,49.1,48.3,9.7,45.2,4.7,1
6037209402,2014,13.0707,13,1.2,0,91.7,71.1,69,12.2,43.4,2.4,1
6037209403,2014,13.0707,19.3,4.4,0,68.3,51.5,42.4,7.1,63,6.9,1
6037209510,2014,13.0707,13.5,3.1,0.2,69,50.3,46.3,5.1,31.6,3.2,1
6037209520,2014,13.0707,13.9,2.5,0,83.6,52,52.8,9.2,33.9,0.7,1
6037209810,2014,13.0707,18.5,5.3,0,72.9,44.2,48,8.4,36.7,10.7,1
6037209820,2014,13.0707,14.6,1.7,0,91.9,52.8,52.3,12.2,40.1,0.5,1
6037210010,2014,13.0707,16.2,2.7,0,78.3,54.7,49.2,8.9,37.9,2.2,1
6037211000,2014,13.0748,8.4,2.1,0.2,5.8,4.5,1,4,4.7,59.7,0
6037211120,2014,13.0707,8.6,4.2,0,22.6,14.5,12.3,7.5,21.3,9.4,0
6037211121,2014,13.0707,10.5,5.8,0,40.9,16.5,18.1,8.2,25.5,11.5,1
6037211122,2014,13.0707,10.5,5,1.2,45.7,29.6,24,14.7,26.4,16,1
6037211201,2014,13.0707,12.1,1.9,0.5,80.8,44.3,54.7,4.3,26.7,5.4,1
6037211202,2014,13.0707,11.5,3.1,0,68.7,41.6,42.3,11.5,26.3,7.7,1
6037211310,2014,13.0707,13,3.8,0,71.2,38.7,45.8,9.7,37.2,4.2,1
6037211320,2014,13.0707,11.6,4.9,0,63.1,37.7,35.9,9.1,25.8,6.5,1
6037211410,2014,13.0707,11.9,4.5,0,33.7,27.9,14.6,8.9,20.7,8,0
6037211420,2014,13.0707,11.3,4.7,0,47.6,23.1,22.9,7.7,21,10.9,1
6037211500,2014,13.0707,9.9,2.1,0,20.1,15.8,10.7,10.3,12.8,32.1,0
6037211701,2014,13.0707,8.7,1.6,0,7.5,5.1,1.7,7.6,10.2,21.9,0
6037211703,2014,13.0707,11.3,4.2,0.4,42.6,24.3,22.2,4.9,17.2,8.2,1
6037211704,2014,13.0707,10.7,4.5,0,20.9,11.5,7,7.3,23.5,12.3,0
6037211802,2014,13.0707,9.7,3.8,1.5,35.4,16.5,21.6,11.8,25.2,10.9,1
6037211803,2014,13.0707,9.8,7.9,0,18.3,9.7,7.7,10.1,27.5,6.6,0
6037211804,2014,13.0707,10.4,5.2,0,15.3,10.8,5.2,7.9,26.5,10.4,0
6037211910,2014,13.0707,10.7,5.4,0,63.4,40.1,39.2,9.7,26.2,6.2,1
6037211921,2014,13.0707,9.7,4,0.8,45.5,29.6,31.1,4.1,26.3,9,1
6037211922,2014,13.0707,9.5,5.2,0,63.8,38.2,39.7,13,17,4.3,1
6037212101,2014,13.0707,9.2,7,0,29.3,19.2,14.3,9.1,32.3,8.3,0
6037212102,2014,13.0707,14,3.3,0,43.3,21.1,19.4,3.4,31.3,12,1
6037212202,2014,13.0707,14.3,1.2,0,82,52,52.9,11.6,40.5,2.3,1
6037212203,2014,13.0707,17,0.8,0.8,79.7,57.2,49.8,2.3,39.7,1.6,1
6037212204,2014,13.0707,14.8,2.7,0.8,78.4,46,55.6,10.3,41.5,3,1
6037212303,2014,13.0707,10.8,3.2,0,72.2,46.4,50.1,6.8,34.3,9,1
6037212304,2014,13.0707,11.8,2.2,1.2,72.1,47,52.1,5.8,26.2,11.8,1
6037212305,2014,13.0707,12.7,3.7,0.3,79,45,49.6,12.3,35.5,3.2,1
6037212306,2014,13.0707,11.9,0.5,0,43.5,26.4,27.8,10.2,22.8,1.7,1
6037212410,2014,13.0707,11.1,4.6,0,45.3,33.4,28.8,9.8,30.2,9.6,1
6037212420,2014,13.0707,12.8,3.6,0,63.7,35.2,35.1,11.6,39.4,2.2,1
6037212501,2014,13.0707,8.1,5.9,0.9,51.9,17.4,25.8,5.1,18.9,18.8,1
6037212502,2014,13.0707,9.5,5.3,0,36.7,17.6,19.1,4.3,10.8,12.2,1
6037212610,2014,13.0707,11.1,4.6,0,26.5,22.6,13.8,7.6,24.8,9.3,0
6037212620,2014,13.0707,12.3,3.1,0,45.6,34.2,23.3,9.1,26.9,3.3,1
6037212701,2014,13.0707,11.8,2.9,0,33,19.4,13,5.4,13.4,15,0
6037212702,2014,13.0748,9.6,4.5,0,12.5,3.8,1.9,7.5,7.7,23.3,0
6037212800,2014,13.0748,13.7,10.5,0,50.1,29.3,25.4,4,29.4,11,1
6037212900,2014,13.0707,13.2,10.8,0.5,61.6,40,35.2,6.8,28.6,4.4,1
6037213100,2014,13.0707,13.4,7.5,0.2,37.9,21.3,20.4,7.2,23.6,8.1,1
6037213201,2014,13.0707,14,1.8,0,48.6,33.1,26.8,10.7,29.1,2.1,1
6037213202,2014,13.0707,14.5,3.4,0,64.2,39.2,37.7,7,36.9,1.3,1
6037213310,2014,13.0707,14.4,0.6,0,75.8,50.1,44.4,8.9,28.9,0.3,1
6037213320,2014,13.0707,15.7,4.8,0,57.5,43.7,31.3,11.1,22.2,3,1
6037213401,2014,13.0707,13.3,0.5,0,79.9,51.7,54.2,11.3,22.5,0.5,1
6037213402,2014,13.0707,12.1,3.5,0,74.5,37.1,43.6,12.5,25.2,2.5,1
6037214000,2014,13.0748,7,0.3,0,2.6,3.4,0.2,4.6,5.7,89.1,0
6037214100,2014,13.0748,6.7,1,0,6.6,3.2,0.2,4.6,5.8,85.7,0
6037214400,2014,13.0748,4.3,1.7,0.3,11,3.1,0.9,10.3,16.6,75.6,0
6037214501,2014,13.0748,5.1,1.5,0.9,5.2,0.9,1.7,3.8,16.1,59.9,0
6037214502,2014,13.0748,5.5,3.6,0,11.9,2.3,1.9,5.5,29,51,0
6037214503,2014,13.0748,5.9,1.7,0,4.1,2.4,0,4.9,7.7,41.7,0
6037214600,2014,13.0748,6.4,1.8,0.1,6.1,3.5,1.2,5.7,9,80.2,0
6037214700,2014,13.0748,6.5,1.3,0.3,8.9,6.4,0.9,6.2,8.3,74.5,0
6037214800,2014,13.0748,6.4,4,0,7.7,8.5,3.7,4.2,7.4,79.8,0
6037214901,2014,12.9393,6.5,2.9,0,5.2,3.1,0.4,8.2,15.2,69.3,0
6037214902,2014,12.9393,6.4,1.7,0,6.9,4.8,2.3,7.9,10.4,72.9,0
6037215101,2014,13.0748,4.9,3.2,0,18.2,1.6,2.5,9.8,16.7,56.5,0
6037215102,2014,13.0748,4.1,6.2,0,9.9,3.6,1.8,8.5,18.4,59.8,0
6037216100,2014,13.0748,8.8,24.1,0,13.7,3.9,3.5,5.7,8.4,40.5,0
6037216200,2014,13.0748,8.3,23.8,0.6,16.5,17.7,3.9,6,15.8,33.8,0
6037216300,2014,13.0748,7.8,8.6,0,8.4,4,0,5,10,62.7,0
6037216401,2014,12.9393,6.9,1.2,0,10.1,6,1.2,2.5,14.6,72.4,0
6037216402,2014,12.9393,7.6,2.6,0,8.6,9.5,3,5.4,14.6,76.1,0
6037216700,2014,13.0748,10.8,33,0,20,5.8,5.5,11.2,15.3,33.1,0
6037216800,2014,13.0748,7.4,9.4,0.8,19.6,6.9,7.3,7.3,16.1,62.2,0
6037216900,2014,13.0748,10.7,24.2,0.1,28.3,14.9,15.7,11.2,9.6,38,0
6037217001,2014,12.9393,7.4,2.8,0,6.3,7.8,0.8,8.8,12.7,77.6,0
6037217002,2014,12.9393,8.2,14.9,1.5,14.3,4.9,0.5,6.6,13.1,55.8,0
6037217100,2014,13.0748,9.9,39.5,0,26.3,8.8,7.7,8.5,13.1,24.6,0
6037217200,2014,13.0748,11.3,20.8,0,43.4,15.3,17.9,6.1,21.6,22,1
6037218110,2014,13.0748,12.7,23.9,0,53.9,23.9,25.4,10.2,19.7,3.2,1
